lat	lon	title	description	icon	iconSize	iconOffset
45.35478	-75.673	GC3C43	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Walking In Circles</a><br/>Difficulty: 3.0/5  Terrain: 1.0/5</div>	../icons/32x32/multi.png	24,24	-12,-12
45.3754	-75.68768	GC1D4X3	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>CTU</a><br/>Difficulty: 2.0/5  Terrain: 1.0/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.35527	-75.62431	GC1FZXH	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Sadies Puzzled - Hard</a><br/>Difficulty: 3.0/5  Terrain: 2.0/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.3506	-75.63425	GC1GBGP	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Kicking Around Sawmill Creek</a><br/>Difficulty: 2.5/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.37682	-75.61023	GC177J8	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Childs Play</a><br/>Difficulty: 2.5/5  Terrain: 1.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.40337	-75.6537	GC16VY9	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Pines 'Round CHEO</a><br/>Difficulty: 1.0/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.38073	-75.68837	GCYPT9	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>CORP 5 - Channel Service-ing</a><br/>Difficulty: 1.5/5  Terrain: 3.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.39958	-75.67083	GC1HMNH	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>CaveCats #1</a><br/>Difficulty: 2.5/5  Terrain: 2.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.39958	-75.67083	GC1HMQK	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Cavecats #2</a><br/>Difficulty: 2.5/5  Terrain: 2.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.39958	-75.67083	GC1HMNF	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>CaveCats #3000</a><br/>Difficulty: 2.5/5  Terrain: 3.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.4043	-75.64788	GC1YTZD	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Timber Land</a><br/>Difficulty: 1.0/5  Terrain: 2.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.40167	-75.66666	GC1QQRV	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>OMAX - One Liners</a><br/>Difficulty: 2.5/5  Terrain: 2.0/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.37463	-75.68967	GC1YD8D	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Project Portera 1000</a><br/>Difficulty: 3.0/5  Terrain: 2.0/5</div>	../icons/32x32/multi.png	24,24	-12,-12
45.4014	-75.63065	GCT50P	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Shuffle the Letters</a><br/>Difficulty: 2.5/5  Terrain: 4.0/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.38748	-75.6867	GCYJ0D	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG9 - Knock Knock</a><br/>Difficulty: 2.5/5  Terrain: 2.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.35597	-75.61933	GC1XA5J	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Pirate's Pit Stop</a><br/>Difficulty: 2.0/5  Terrain: 2.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.40457	-75.65655	GC1DA2K	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Wight Men's Roost</a><br/>Difficulty: 1.5/5  Terrain: 2.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
